iter	RMSE
0	25991.12231
1	25987.05206
2	25984.35752
3	25982.35355
4	25980.75042
5	25978.43723
6	25978.01396
7	25977.81347
8	25974.25463
9	25973.0053
10	25972.16273
11	25970.81796
12	25968.39893
13	25967.28377
14	25965.9974
15	25965.95478
16	25964.49654
17	25964.24682
18	25962.49809
19	25962.48969
20	25962.45879
21	25961.44757
22	25957.91759
23	25956.73695
24	25952.96955
25	25952.93114
26	25952.93113
27	25951.85262
28	25950.2694
29	25947.86618
30	25946.90484
31	25945.09704
32	25944.01288
33	25941.78577
34	25941.22
35	25941.22
36	25939.06691
37	25938.90338
38	25938.57088
39	25935.61119
40	25935.01531
41	25934.75656
42	25933.17253
43	25932.4538
44	25928.41304
45	25928.3788
46	25928.32283
47	25927.26539
48	25925.29696
49	25924.84561
50	25922.57147
51	25922.38054
52	25922.36708
53	25921.83263
54	25920.11923
55	25920.03661
56	25919.98447
57	25916.99527
58	25915.66943
59	25915.6479
60	25912.18819
61	25912.15463
62	25909.20705
63	25909.1573
64	25908.7424
65	25908.73663
66	25907.88072
67	25906.81292
68	25905.01771
69	25903.48074
70	25898.13912
71	25897.08373
72	25897.08373
73	25897.08373
74	25895.68945
75	25895.4946
76	25894.50814
77	25891.92966
78	25891.37618
79	25889.09228
80	25887.54138
81	25887.41226
82	25887.36766
83	25885.3131
84	25882.59212
85	25882.45348
86	25880.80031
87	25880.65632
88	25880.65632
89	25880.54669
90	25877.93514
91	25877.28675
92	25873.85758
93	25873.85368
94	25873.02767
95	25873.01702
96	25870.95781
97	25870.9578
98	25870.52867
99	25867.33579
100	25865.90268
101	25865.89336
102	25862.69217
103	25861.74663
104	25859.85492
105	25858.16447
106	25855.21937
107	25853.7458
108	25853.66959
109	25850.97606
110	25850.97578
111	25850.97573
112	25850.94216
113	25850.94216
114	25850.94192
115	25850.86665
116	25850.86665
117	25847.63554
118	25845.57089
119	25844.96471
120	25843.36133
121	25837.86504
122	25837.23917
123	25836.62223
124	25836.62223
125	25835.8306
126	25834.04191
127	25831.04982
128	25831.04981
129	25829.29084
130	25827.74854
131	25827.5808
132	25825.03575
133	25825.03033
134	25824.15731
135	25822.75863
136	25822.7538
137	25822.74798
138	25822.62234
139	25822.62233
140	25820.84583
141	25819.68867
142	25818.77958
143	25817.56425
144	25816.84917
145	25816.84917
146	25816.6173
147	25816.61321
148	25816.23797
149	25814.71765
150	25814.69443
151	25812.66374
152	25811.975
153	25810.52687
154	25810.52685
155	25808.16148
156	25806.5757
157	25806.25292
158	25806.25292
159	25804.92855
160	25802.00951
161	25801.46864
162	25799.01345
163	25796.67048
164	25795.45885
165	25793.44451
166	25791.97304
167	25790.98944
168	25790.98944
169	25788.95768
170	25786.18643
171	25785.11824
172	25785.11823
173	25785.11823
174	25782.54709
175	25779.80826
176	25778.28084
177	25777.13078
178	25777.13078
179	25772.13365
180	25771.07281
181	25770.12066
182	25768.43891
183	25768.43891
184	25768.43891
185	25768.43891
186	25765.4947
187	25765.35454
188	25763.89073
189	25762.30192
190	25761.14701
191	25760.70011
192	25759.10427
193	25757.41593
194	25754.66687
195	25753.57364
196	25751.24883
197	25751.24883
198	25748.76984
199	25748.56737
200	25748.44433
201	25747.83337
202	25747.76349
203	25745.17234
204	25743.18845
205	25741.22216
206	25741.21225
207	25739.58912
208	25734.53225
209	25732.0111
210	25731.4921
211	25729.26609
212	25728.42484
213	25726.20216
214	25724.29959
215	25722.29486
216	25719.63965
217	25719.63813
218	25716.69091
219	25715.85728
220	25714.68578
221	25711.49265
222	25710.67328
223	25708.25153
224	25706.1584
225	25701.8579
226	25698.67134
227	25696.0837
228	25693.6284
229	25691.53938
230	25691.14145
231	25688.72139
232	25685.79986
233	25683.1212
234	25679.95587
235	25677.17051
236	25673.88869
237	25672.28945
238	25668.88615
239	25665.56576
240	25664.14198
241	25660.52265
242	25658.1735
243	25656.25206
244	25652.69964
245	25651.32407
246	25649.05709
247	25646.95356
248	25645.07744
249	25642.2507
250	25639.06989
251	25634.67219
252	25630.91888
253	25628.47752
254	25625.95712
255	25625.37209
256	25623.92502
257	25621.4164
258	25618.96827
259	25615.92132
260	25613.80465
261	25613.14121
262	25610.16156
263	25607.57923
264	25604.81362
265	25603.06957
266	25601.87042
267	25598.74061
268	25595.61575
269	25591.81641
270	25588.36188
271	25586.65103
272	25583.4345
273	25580.6125
274	25579.041
275	25576.9395
276	25575.33965
277	25574.81091
278	25572.42649
279	25568.94027
280	25564.35413
281	25562.61284
282	25559.42688
283	25557.14191
284	25555.5519
285	25551.27676
286	25547.5939
287	25544.73929
288	25542.7944
289	25540.66126
290	25536.65107
291	25534.00785
292	25532.8586
293	25531.41568
294	25529.34229
295	25528.39462
296	25525.15905
297	25522.33262
298	25521.49498
299	25519.32277
