iter	Passed	Remaining
0	278	83357
1	400	59638
2	521	51655
3	639	47317
4	752	44394
5	853	41809
6	958	40120
7	1023	37349
8	1144	36989
9	1254	36366
10	1360	35750
11	1469	35271
12	1589	35095
13	1703	34797
14	1819	34578
15	1869	33187
16	1989	33120
17	2049	32108
18	2223	32890
19	2270	31783
20	2304	30612
21	2429	30701
22	2539	30580
23	2649	30473
24	2781	30599
25	2821	29732
26	2836	28676
27	2939	28551
28	3051	28518
29	3169	28523
30	3267	28349
31	3371	28232
32	3496	28286
33	3627	28382
34	3728	28233
35	3748	27486
36	3854	27397
37	3938	27154
38	4017	26887
39	4145	26946
40	4257	26893
41	4312	26488
42	4434	26503
43	4531	26363
44	4654	26375
45	4731	26123
46	4787	25773
47	4899	25724
48	5020	25714
49	5101	25508
50	5222	25498
51	5265	25114
52	5312	24757
53	5411	24650
54	5538	24672
55	5572	24279
56	5619	23955
57	5731	23913
58	5849	23894
59	5902	23609
60	6016	23571
61	6053	23237
62	6157	23163
63	6186	22812
64	6283	22717
65	6312	22380
66	6430	22361
67	6529	22275
68	6636	22216
69	6727	22105
70	6832	22038
71	6928	21940
72	6955	21627
73	6970	21287
74	7065	21197
75	7116	20975
76	7203	20860
77	7320	20834
78	7458	20863
79	7644	21021
80	7790	21063
81	7837	20835
82	7880	20602
83	7994	20558
84	8116	20529
85	8182	20360
86	8290	20298
87	8338	20088
88	8357	19813
89	8385	19566
90	8501	19524
91	8607	19460
92	8717	19404
93	8758	19193
94	8866	19132
95	8901	18914
96	9013	18862
97	9040	18633
98	9139	18556
99	9265	18531
100	9379	18480
101	9421	18288
102	9520	18209
103	9624	18138
104	9739	18087
105	9854	18035
106	9964	17973
107	10067	17898
108	10122	17737
109	10233	17676
110	10262	17474
111	10287	17267
112	10325	17086
113	10340	16871
114	10366	16677
115	10413	16517
116	10430	16314
117	10526	16235
118	10623	16158
119	10690	16035
120	10801	15979
121	10912	15921
122	11024	15865
123	11126	15792
124	11144	15601
125	11254	15541
126	11350	15461
127	11457	15396
128	11474	15210
129	11573	15134
130	11677	15065
131	11745	14949
132	11845	14873
133	11874	14710
134	11978	14640
135	12094	14584
136	12122	14423
137	12158	14273
138	12210	14143
139	12236	13984
140	12344	13920
141	12447	13849
142	12548	13776
143	12638	13691
144	12727	13605
145	12744	13442
146	12780	13302
147	12805	13152
148	12892	13065
149	12985	12985
150	13015	12842
151	13148	12802
152	13315	12793
153	13453	12754
154	13485	12615
155	13599	12553
156	13717	12494
157	13787	12391
158	13803	12240
159	13907	12168
160	14021	12105
161	14116	12025
162	14234	11963
163	14346	11897
164	14446	11819
165	14552	11746
166	14652	11669
167	14758	11595
168	14775	11453
169	14874	11374
170	14975	11297
171	15082	11223
172	15099	11084
173	15114	10944
174	15221	10872
175	15335	10804
176	15446	10733
177	15545	10654
178	15563	10520
179	15671	10447
180	15795	10384
181	15923	10323
182	16051	10262
183	16073	10133
184	16097	10006
185	16121	9880
186	16263	9827
187	16348	9739
188	16478	9677
189	16601	9611
190	16715	9539
191	16830	9466
192	16959	9402
193	17076	9330
194	17201	9262
195	17326	9193
196	17446	9121
197	17465	8997
198	17584	8924
199	17695	8847
200	17743	8739
201	17872	8671
202	17925	8565
203	18047	8492
204	18174	8422
205	18325	8362
206	18378	8256
207	18493	8179
208	18613	8104
209	18765	8042
210	18923	7981
211	19098	7927
212	19238	7857
213	19394	7794
214	19527	7720
215	19668	7648
216	19797	7572
217	19834	7460
218	19982	7390
219	20110	7312
220	20239	7235
221	20360	7153
222	20470	7068
223	20585	6984
224	20741	6913
225	20871	6834
226	21000	6753
227	21137	6675
228	21264	6592
229	21393	6511
230	21507	6424
231	21635	6341
232	21777	6262
233	21911	6180
234	22035	6094
235	22166	6011
236	22306	5929
237	22425	5842
238	22541	5753
239	22665	5666
240	22819	5586
241	22974	5506
242	23088	5415
243	23206	5326
244	23343	5240
245	23450	5147
246	23560	5055
247	23662	4961
248	23776	4869
249	23891	4778
250	24009	4687
251	24120	4594
252	24231	4501
253	24356	4410
254	24533	4329
255	24689	4243
256	24815	4151
257	24942	4060
258	25063	3967
259	25176	3873
260	25304	3781
261	25409	3685
262	25533	3592
263	25644	3496
264	25765	3402
265	25884	3308
266	25992	3212
267	26111	3117
268	26226	3022
269	26348	2927
270	26457	2831
271	26572	2735
272	26700	2640
273	26808	2543
274	26932	2448
275	27052	2352
276	27173	2256
277	27279	2158
278	27405	2062
279	27523	1965
280	27648	1869
281	27765	1772
282	27891	1675
283	28005	1577
284	28119	1479
285	28236	1382
286	28354	1284
287	28482	1186
288	28604	1088
289	28724	990
290	28840	891
291	28952	793
292	29069	694
293	29179	595
294	29282	496
295	29389	397
296	29524	298
297	29638	198
298	29735	99
299	29842	0
